text,coarse_label
How long was Mao 's 1930s Long March ?,numeric
What net game sees its women 's world amateur champions receive the Uber Cup ?,entity
What four-legged creature did a Cornell University study say would make man 's best companion in space ?,entity
What does a teaspoon of matter weigh in a black hole ?,numeric
"What did British companies stick 175 , 0 tons of tea into in 1982 ?",entity
What province is Edmonton located in ?,location
How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?,description
Who did Sonny Liston succeed as world heavyweight boxing champion ?,human
What is California 's state bird ?,entity
What is Martin Luther King Jr. 's real birthday ?,numeric
Name the various super-teams to which the Angel has belonged .,human
How does Zatanna perform her magic in DC comics ?,description
What 's the name of Jacques Cousteau 's research ship ?,entity
What President dispatched a cruiser to carry Charles Lindbergh home after his epic flight ?,human
Whose video is titled Shape Up with Arnold ?,human
In which Kevin Costner movie did Sioux Indians play a role ?,entity
How many James Bond novels are there ?,numeric
How do you get dates with the `` Hooters '' girls ?,description
What bird can swim but can 't fly ?,entity
How can I get a comic character I made copyrighted and published ?,description
How large is the Arctic refuge to preserve unique wildlife and wilderness value on Alaska 's north coast ?,numeric
What is Plc ?,description
How much electricity does the brain need to work ?,numeric
How many acres in a mile ?,numeric
What Dickens novel has David carrying the message `` Barkis is willin '' to Peggy ?,entity
What is a hyperlink ?,description
Who 's the twin brother of the Greek goddess Artemis ?,human
Where did marijuana come from ?,description
"What is the per-capita income of Colombia , South America , ?",numeric
What novel has Big Brother watching ?,entity
How many Grammys did Michael Jackson win in 1983 ?,numeric
What does Elysium mean ?,description
What is the oldest website on the Internet ?,location
What is Shalom ?,description
What was the favorite sport of Tom Wolfe 's The Pump House Gang ?,entity
What organic fuel do bog-dwellers use a `` slane '' to cut ?,entity
What is the average age of a member of the team that worked on the Manhatten Project ?,numeric
What country received all the Nobel Prizes awarded in 1976 ?,location
How do you get rid on woodpeckers ?,description
How many syllables are there in a line of hendecasyllabic poetry ?,numeric
"What soft drink first appeared in the Old Corner Drug Store in Waco , Texas , in 1885 ?",entity
What is Britain 's possession on the Chinese mainland ?,location
Who was America 's first Public Enemy No. 1 ?,human
How many children under 18 are victims of some sort of Physical Abuse each year ?,numeric
What is the origin of thank you notes ?,description
What did Jimmy Stewart invent ?,entity
What generation am I in ?,entity
What is a fear of hell ?,entity
Who is Dear Abby ?,human
"Who lives at 24 Sussex Drive , Ottawa ?",human
What is Jell-O made from ?,entity
Who was Monet ?,human
What are the only two states that incorporate the Confederate battle flag in their flags ?,location
How do you make panoramic sugar eggs for Easter - the ones with the scene inside ?,description
What 's the Southern dish made of pigs ' small intestines ?,entity
Where is Guam ?,location
Who was the famous door-to-door brush salesman ?,human
What is the executor in a will ?,description
"What inescapable purveyor of background music celebrated its 5th anniversary in July , 1984 ?",human
How many people in America snore ?,numeric
Who is always trying to get the rent from Andy Capp ?,human
What soft drink is most heavily caffeinated ?,entity
Who did Jackie Kennedy commission to write The Death of a President ?,human
Which drug is commonly used to treat AIDS ?,entity
How many stars are there on the Soviet Union 's flag ?,numeric
What is the difference between microprocessors & microcontrollers ?,description
Who sought to create The Great Society ?,human
What are tourist attractions in Reims ?,location
What are the lengths of pearl necklaces ?,numeric
Who said : `` Soldiers win the battles and generals get the credit '' ?,human
What is the proof that houseplants metabolize carcinogens ?,description
What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?,description
How long does it take the typical hen to lay 19 dozen eggs ?,numeric
What Colorado city owns its own glacier ?,location
What is the history of `` the toast '' ?,description
What was the name of the Protestant revolt against the supremacy of the Pope ?,entity
What is an arab strap ?,description
"How much does it cost , average or whatever is available , to produce and send junk mail catalogues in the US ? , DT CD NN NN ,",numeric
Who is the current UN Secretary General ?,human
"Who provides telephone service in Orange County , California ?",human
Where did guinea pigs originate ?,location
What two countries ' coastlines border the Bay of Biscay ?,location
Why did Egyptians shave their eyebrows ?,description
What organization did Mr. Waverly assign agents for ?,human
When was the slinky invented ?,numeric
What are the characters ' names in the Scooby-Doo cartoon ?,human
What is a fear of cold ?,entity
What was Eduard Shevardnadze 's job in the Soviet Union ?,human
What causes rust ?,description
Which is the only Dick Tracy villain to appear three times ?,human
What was the monster in Spielberg 's film `` Jaws '' ?,entity
What color is an Arctic fox in winter ?,entity
"What do the names Neil , Mary , and Anthony mean ?",description
"What European capital celebrated its 2 , 000th anniversary in 1951 ?",location
Why do people in the upper peninsula of Michagin say `` eh ? '' ?,description
What flower did Vincent Van Gogh paint ?,entity
What country was the setting of You Only Live Twice ?,location
What was Thatcher 's approval rating after 10 years in power ?,numeric
Winnie the Pooh is what kind of animal ?,entity
"What was the first Funk 'N Lata , Brazilian group , success ?",description
What is a handheld PC ?,description
What did John Hinckley do to impress Jodie Foster ?,description
What is Larry King 's job ?,human
How many calories are in a tomato ?,numeric
In what state was the first co-educational college established,location
What war saw a naval battle between the luxury liners Cap Trafalgar and the Carmania ?,entity
What is the treatment for depression ?,entity
What is a fear of slime ?,entity
What country in Latin America is the largest one ?,location
On which Hawaiian island is Pearl Harbor ?,location
"What feathered cartoon characters do Yugoslavians know as Vlaja , Gaja , and Raja ?",human
What Marx Brothers movie centers on a stolen painting ?,entity
What was unusual about Alexandra 's appearance in Josie and the Pussycats ?,description
What is the origin of the word `` mind '' ?,description
When was Dick Clark born ?,numeric
What game is fatal to anybody over 21 ?,entity
What is the death toll of people dying from tuberculosis ?,numeric
What happened to Moon Maiden ?,description
What city is wiener schnitzel named for ?,location
What are the Urals ?,description
How can you stop the itch from poison ivy ?,description
What desert has the highest sand dunes ?,location
What two countries contain Sierra Nevada mountains ?,location
How do you tell your parents you are dating an older man ?,description
How long was the TV mission of Star Trek 's Enterprise to be ?,numeric
What phone number can I call to have a tree planted ?,numeric
When did the `` Star-Spangled Banner '' become the national anthem ?,numeric
Who was Lacan ?,human
What are the four natural aids used in riding a horse ?,entity
What continent 's name appears on the upper left corner of a Budweiser label ?,location
Who was the Secretary of War in the Civil War during the Battle of Gettysburg ?,human
Who did Bobby Fischer beat to win the world chess championship ?,human
How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?,description
Where can I get information and statistics on countries and nations ?,location
Name a Gaelic language .,entity
"What day is August 13 , 1971 ?",numeric
Where can I find a list of all the companies in America that offer a direct stock purchase plan ?,location
How do you send a movie transcript to Hollywood so that it can be produced into a film ?,description
"What literary classic centers on the search for a treasure in gold worth 7 , 0 pounds ?",entity
What is the origin of blue for boys and pink for girls ?,description
What is the name of the Michelangelo painting that shows two hands with fingers touching ?,entity
How big is a quart ?,numeric
What is the Hub of London ?,description
Jude Law acted in which film ?,entity
What causes panic attacks ?,description
What was the filling in the first golf balls ?,description
What drug did Sigmund Freud become fascinated with while experimenting with the treatment of neurasthenia ?,entity
What country was A Terrible Beauty to Leon Uris ?,location
What is typhoid fever ?,description
Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?,location
What are the Twin Cities ?,description
What is Beethoven 's 9th symphony called ?,entity
Name the lawyer for Randy Craft .,human
Which breakfast cereal brought you `` the best each morning '' ?,entity
"What does Ms. , Miss , and Mrs. stand for ?",abbreviation
What is the Homelite Inc. home page ?,location
"What explosive do you get by mixing charcoal , sulfur and saltpeter ?",entity
What mountainous region of the world is the Lhasa Apso dog native to ?,location
What cancer is commonly associated with AIDS ?,entity
How long does it take light to reach the Earth from the Sun ?,numeric
Who lives at 39 Stone Canyon Way ?,human
How many questions are on this thing ?,numeric
Who played Humpty Dumpty in the 1933 film Alice in Wonderland ?,human
"Who is Karenna Gore , Al Gore 's oldest daughter , married to ?",human
Who played the title role in I Was a Teenage Werewolf ?,human
Why are there olives in martinis ?,description
In what year did Hitler gain power of Germany ?,numeric
What year did Rossetti paint `` Beata Beatrix '' ?,numeric
What record company produced the 1978 movie The Wiz ?,human
Where can I find information about touring the Philippines ?,location
What did The Gas House Gang play ?,entity
How many square feet is Bill Gates ' home ?,numeric
"What is the name of actor Rex Harrison 's son , who starred in a modestly popular TV show during the late 1960's ?",human
What is the highest Roman numeral ?,description
What 's the most popular form of bridge ?,entity
Who was the inventor of the stove ?,human
What comedian has a legendary reputation for stealing jokes ?,human
Where can I find information on the cyclone that hit New Jersey on 8/28/1941 ?,location
Boxing Day is celebrated on what date ?,numeric
What are the first ten amendements passed ?,entity
What is another term for the painful wrist syndrome ?,entity
What 's the difference between sleet and freezing rain ?,description
How is the new Ford Econoline van F25 V1 engine ?,description
Who was the king who was forced to agree to the Magna Carta ?,human
Who was made the first honorary citizen of the U.S. ?,human
What game is Garry Kasparov really good at ?,entity
Where was Richard Nixon when Gerald Ford became president ?,location
Where does the U.S. rank among world countries in area ?,numeric
What novel did Ian Fleming introduce James Bond in ?,entity
What was the target rate for M3 growth in 1992 ?,numeric
What baseball team was routinely called `` dem bums '' by its frustrated fans ?,human
Name of scholar on whose literal translations from the Chinese and Japanese Ezra Pound depended ?,human
When did Israel begin turning the Gaza Strip and Jericho over to the PLO ?,numeric
What are the major differences in the Catholic and Methodist religions ?,description
Name the On Stage character whose face was never seen .,human
How much energy is released when oxygen and hydrogen mix ?,numeric
What is the best Internet business to go into ?,human
What does Venus Retrograde mean ?,description
Who is known as `` the world 's oldest teenager '' ?,human
What are the largest breweries in the world ?,location
What does Las Vegas mean ?,description
What does the word `` meta '' mean ?,description
What keeps clouds in the air ?,entity
What 's the term for any four-sided figure ?,entity
Ray Charles plays which instrument ?,entity
What country and western singer is known as The Silver Fox ?,location
What building appropriately enough is depicted on the back of the 1-dollar bill ?,location
What is graduate school ?,description
What is the difference between New York-style and Chicago-style pizza ?,description
What baseball team owner and sailor is known as The Mouth of the South ?,human
What type of betting is used in horse racing ?,entity
What kind of hat does Bat Masterson wear ?,entity
Who was with Patricia Hearst the night she was kidnaped ?,human
What is the Viking Prince 's first name ?,human
What does the abbreviation cwt. ?,abbreviation
In what deodorant commercial did tenants have adjoining medicine cabinets ?,entity
Where is Rider College located ?,location
What boxer 's life story is titled Raging Bull ?,human
For what reason did some San Diego schools stop serving apples ?,description
Who advised listeners to `` see the U.S.A. in your Chevrolet '' ?,human
Where was the first restaurant ?,location
Where can I find full written draft of CTBT ?,location
How many horses died during the civil war ?,numeric
How much waste does an average dairy cow produce in a day ?,numeric
What Nobel laureate was expelled from the Philippines before the conference on East Timor ?,human
"What woman has carried the most multiple births , twins , triplets , etc. , ?",human
How many minutes were there on the original GE College Bowl clock ?,numeric
What is the average time it takes for a male to ejaculate ?,numeric
What is website of the International Court of Justice ?,location
Where are 8 of the 10 highest mountains in the world ?,location
Where can I look at a perpetual calendar ?,location
How many astronauts have been on the moon ?,numeric
In what year did the Bounty mutiny happen ?,numeric
What is the only substance that gives food its `` taste '' when eaten ?,entity
How do you reference a website ?,description
What is pandoro ?,description
What do the letters ZIP stand for in the phrase `` ZIP code '' ?,abbreviation
Which Bourbon king was restored to the French throne during Napoleon 's abdication ?,human
What is one of the cities that the University of Minnesota is located in ?,location
What are the words to `` My Way '' written by Paul Anka ?,description
How do I install a tile floor ?,description
What is the quickest and easiest way to get nail polish out of clothes ?,entity
Why was the zipper invented ?,description
What 's the No. 1 killer in industrialized countries ?,entity
Name four famous cartoon cats .,entity
What daughter of Henry VIII and Anne Boleyn became queen of England ?,human
How did ` stat ' come to be used as an expression for quickly ?,description
What 's the most common nickname of U.S. college football teams ?,human
What 's the distinction of U.S. Supreme Court Justice Thurgood Marshall ?,description
What is the most useful site on the Internet ?,location
What is the world 's highest peak ?,location
What was a Mae West on a World War II battleship ?,description
Define cosmology .,description
What comedienne upstaged Dwight D. Eisenhower 's first inauguration by giving birth to her first child ?,human
What are amicable numbers ?,description
When were the Olympic Games in which Nadia Comaneci became popular played ?,numeric
"Where is Hearst Castle , built by publisher William Randolph Hearst ?",location
What 's the largest U.S. city on the Great Lakes ?,location
Who sang about Desmond and Molly Jones ?,human
"What magazine gives us the cream , not the skim ?",entity
What does the technique called `` cold fusion '' produce ?,entity
What costume designer decided that Michael Jackson should only wear one glove ?,human
"What meter did Shakespeare use in writing : `` To be , or not to be , that is the question.. . '' ?",entity
How many rows of sprocket holes does a roll of 35-millimeter film have ?,numeric
What is the goat population of the world ?,numeric
What company was the original sponsor of TV 's Superman ?,human
What term does a Czech use to describe a Pole ?,entity
What sea separates Naples and Algiers ?,location
How many lawyers are there in the state of New Jersey ?,numeric
What are the most common elements in seawater ?,entity
Describe the Finnish music personality Salonen 's appearance .,description
What is the origin of the ethnic category `` caucasian '' ?,description
What is a stratocaster ?,description
What kind of science is cosmology ?,entity
Name the blind sculptress in love with the Fantastic Four 's Thing .,human
What 's the second-lightest element ?,entity
What do you call a `` twirl '' in ballet ?,entity
What is the brand name of daminozide ?,entity
What is the former name of Zimbabwe ?,entity
What National Basketball Association superstar told his story in Giant Steps ?,human
What animals did The Amazing Three masquerade as ?,entity
How did the bikini bathing suite get its name ?,description
When did Fraze get his first patent for the pull-tab can ?,numeric
How many games are played in a five-team round-robin tournament ?,numeric
Who developed the first polio vaccine ?,human
Who made the first gas engine ?,human
"What country claimed Rubens , Van Dyck and Bruegel as citizens ?",location
What civil war was fought between 1936 and 1939 ?,entity
How many questions do you have on your database ?,numeric
How do clouds form ?,description
Where can I find examples of legal cases about the Individuals with Disabilities Education Act ?,location
What character did Tex Avery first create upon arriving at MGM ?,human
When was the Triangle Shirtwaist fire ?,numeric
What Asian spiritual and political leader was married at the age of 13 ?,human
Where is Ocho Rios ?,location
What is the half-life of P-32 ?,description
What ocean does Mauritania border ?,location
Why do pressure cookers save time in the kitchen ?,description
Why are there 12 people on a jury in criminal cases ?,description
What do Christian Scientists believe in ?,description
"What World War I battle saw 6 , 0 troops killed in one day ?",entity
What country is Kosovo a part of ?,location
Tell me what city the Kentucky Horse Park is near ?,location
What computer operating system is on the most computers ?,entity
What is Bill Gross 's email address ?,location
What is the economic impact of unemployment on the economy ?,description
"What do the letters D.C. stand for in Washington , D.C. ?",abbreviation
What animals can live the longest without food ?,entity
What English queen had seventeen children ?,human
"What is the approximate population of Las Vegas , N.M ?",numeric
How much does the President get paid ?,numeric
What two baseball players make up the battery ?,human
What 's the largest letter in Salvador Dali 's signature ?,entity
What does an irate car owner call iron oxide ?,entity
"Of children between the ages of two and eleven , what percentage watch `` The Simpsons '' ?",numeric
What 's the northernmost U.S. state apart from Alaska ?,location
Name an art gallery in New York .,location
Who sells Viagra ?,human
What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,entity
What is the Home Rule Act ?,description
What building are British monarchs crowned in ?,location
What are Bellworts ?,description
Who was Darius ?,human
What movie told of Anna Anderson 's claim to be a Russian czar 's daughter ?,entity
Who did Dita Beard work for ?,human
What kind of creature is a coot ?,entity
Name the university of which Woodrow Wilson was president .,human
"What country was first to use the airplane as a weapon of war , against the Turks in Libya ?",location
What university was Woodrow Wilson President of ?,human
What is a fear of disease ?,entity
What kind of meat is Fray Bentos synonymous with ?,entity
What did Mr. Magoo flog on TV for General Electric ?,entity
What are the words to the Canadian National anthem ?,description
What is the name of the Jewish alphabet ?,entity
Who served as inspiration for the schoolteacher portrayed by Robin Williams in `` Dead Poets Society '' ?,human
What is Columbia Tristar 's phone number ?,numeric
Name the five positions who are in the line of succession to the presidency .,human
Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights ?,human
Who is the best known villain of the 165 Gunpowder Plot ?,human
What is the capital of Burkina Faso ?,location
What continent is Bolivia on ?,location
Why was Muhammad Ali stripped of his title and barred from boxing in 1967 ?,description
"Who killed more people , Hitler or Stalin ?",human
What caused Shea & Gould to close their L.A. office ?,description
What 's the only mammal that can 't jump ?,entity
What U.S. state has the most blondes ?,location
What war saw battles at Parrot 's Beak and Black Virgin ?,entity
What was the U.S. highway death toll in 1969 ?,numeric
What does the name Kelly mean ?,description
What is a phalanx ?,description
What mustachioed comedian portrayed Frankie in North to Alaska ?,human
What does each of the utilities cost in Monopoly ?,numeric
"What actor and World War II airman had a $5 , 0 bounty put on his head by Hermann Goering ?",human
What does e.g. stand for ?,abbreviation
What is the name of the medical condition in which a baby is born without a brain ?,entity
How do storms form ?,description
Who is Nicolo Paganini ?,human
What city is often called The Insurance Capital of the World ?,location
What are the three animals in Sheila Burnford 's The Incredible Journey ?,entity
Who portrayed Dracula in Hammer Studios ' films ?,human
Name one of the Seven Wonders of the Ancient World .,entity
When were fish first believed to be found on earth ?,numeric
"What President 's favorite Biblical quotation was : `` Come now , and let us reason together '' .",human
How many elevators do you ride to reach the top floor of the Empire State Building ?,numeric
Name the food company that traveled to Soviet Georgia to film a series of ads .,human
What country was Sir Edmund Hillary born in ?,location
What 's an infant seal called ?,entity
"What was the proper Laugh-In respones to : `` Say goodnight , Dick '' ?",description
What city was John F. Kennedy nominated for president in ?,location
How long does a dog sleep ?,numeric
What 1963 Joseph L. Mankiewicz film cost $28 million ?,entity
What Japanese electronics company was named for a coastal city northeast of Tokyo ?,human
What can you be fined for having a dog on a beach ?,numeric
Where did the Battle of the Bulge take place ?,location
How much will the California be in the year 2000 ?,numeric
"What mystery writer penned `` ...the glory that was Greece , and the grandeur that was Rome '' ?",human
What state full of milk and honey was the destination in The Grapes of Wrath ?,location
What is the tallest building in Japan ?,location
Where is Sinn Fein 's headquarters ?,location
Name Li 'l Abner 's favorite Indian drink .,entity
What are some important events of the 1830 's ?,entity
The Iraqis launched their attack on Kuwait on what day ?,numeric
What letter adorns the flag of Rwanda ?,entity
"What did 8 , CD NNS VBP TO VB NNP POS NN .",entity
What is God ?,description
What country 's northernmost city is Darwin ?,location
"What sound does Olympia , Washington , overlook ?",location
What TV show chronicled the lives of Katy Holstrum and Congressman Glen Morley ?,entity
What Kentucky city calls itself The Horse Center of America ?,location
How many penny-farthings are there on a Trivial Pursuit game board ?,numeric
What 's the most abundant element in the sun ?,entity
"What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?",location
What U.S. state is Dixville Notch in ?,location
"Where was the Cisalpine Republic , 1797-185 , ?",location
What is the largest shopping mall in the world ?,location
What is the protagonist 's name in Dostoevski 's `` The Idiot '' ?,human
What penalty space lies between Baltic Avenue and Reading Railroad on a Monopoly board ?,entity
What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?,human
What is a meerkat ?,description
Who was Jean Nicolet ?,human
What kind of animal was Winnie the Pooh ?,entity
Which of these are authors ?,human
What 's the international radio code word for the letter B ?,entity
Who was the original Humpty Dumpty ?,human
What is cache memory ?,description
Aspartame is also known as what ?,entity
Where is the location of the Orange Bowl ?,location
When is President Nixon 's birthday ?,numeric
"What is the origin of the midwest slang , ` you 're darn tootin ' ?",description
Whose cupboard was bare ?,human
What are the seven seas ?,location
What does IBM stand for ?,abbreviation
What is the difference between jazz and blues ?,description
What is the C programming language ?,description
What 's the name of Popeye 's adopted son ?,human
Who invented the vacuum cleaner ?,human
What is a ` borrow pit ' ?,description
What 2th-century fictional character attends Pencey Prep School ?,human
How many people in the USA say their number one source of information is the newspaper ?,numeric
"Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?",human
Which country is known as `` Big Bear '' ?,location
"What `` melts in your mouth , not in your hands '' .",entity
How many times a day should you take a prescription marked `` q.i.d . '' ?,numeric
What is the origin of the atom ?,description
Who is the Voyager project manager ?,human
Which radio stations air the Jim Bohannon Radio Talk Show ?,human
What two commanders directed the forces in the Battle of El Alamein ?,human
Name the creator of `` The Muppets '' .,human
How do I e-mail someone at aol.com from yahoo.com ?,description
Who replies `` I know '' to Princess Leia 's confession `` I love you '' in The Empire Strikes Back ?,human
What is the meaning of the name Ella ?,description
What 's the home of the Rockettes ?,location
"Where can I find all the information I need to know about the English Civil War , 1642-1649 , ?",location
What is the name of the firm that makes Spumante ?,human
What sport is played on the largest field ?,entity
Who won the 1967 Academy Award for Best Actor ?,human
What is after death ?,entity
Name the first private citizen to fly in space .,human
What was football star Elroy Hirsch 's nickname ?,human
What singer sings `` Oh Boy '' ?,human
How much pizza do Americans eat in a day ?,numeric
What is the website for the USA journal ?,location
What army 's motto is Blood and Fire ?,human
What kind of patent did Ermal Fraze get in 1963 ?,entity
What are you hearing when you put a seashell to your ear ?,description
Why are haunted houses popular ?,description
Which gender has bigger thighs ?,entity
What U.S. state has the second-longest coastline ?,location
What state 's home to the Buffalo Bill Historical Center ?,location
How fast do cheetahs run ?,numeric
What is Ray Bradbury 's illustrated man illustrated with ?,entity
How fast is a 45Mhz processor ?,numeric
"What kind of puzzle first appeared in the U.S. in the New York World on December 21 , 1913 ?",entity
What count did Alexandre Dumas write about ?,human
What are the odds of giving birth to twins ?,numeric
What is the largest natural lake in Pennsylvania ?,location
How far is London UK from California ?,numeric
Name the two mystical ravens Odin has at his command .,entity
What was the species of Winnie the Pooh ?,entity
What is the virus HIV ?,description
How many years old is Benny Carter ?,numeric
What Hermann Hesse book gave its name to a rock group ?,entity
Where does the Santa Fe Trail begin and end ?,location
What book is the follow-up to Future Shock ?,entity
What African animals are known as The Big Five ?,entity
What is the alphabet for Latin ?,entity
What is the fear of frogs ?,entity
Which city in Canada is the least-populated ?,location
How old is Stevie Wonder ?,numeric
Who was the first Taiwanese President ?,human
Who is Luke Skywalker 's father ?,human
What does a dipsomaniac crave ?,entity
What is the definition of the term `` weapons system '' ?,description
What are Christopher Marlowe 's and Shakespeare 's literary contributions to English literature ?,description
What is Nero Wolfe 's favorite drink during office hours ?,entity
What is the first personal computer company ?,human
What is the most efficient way to start a barbeque ?,entity
Who was Jane Goodall ?,human
Why are there Braille things on the ATM machines that people drive through ?,description
Where is the Isle of Man ?,location
What book did Aaron Hass write ?,entity
What was the death toll at the eruption of Mount Pinatubo ?,numeric
When will the millennium officially begin ?,numeric
"Who created the comic strip , `` Garfield '' ?",human
Which Vietnamese terrorist is now a UN delegate in Doonesbury ?,human
What is real time processing ?,description
What do we call the imaginary line along the top of the Rocky Mountains ?,location
What country 's capital is Lagos ?,location
Where does Ray Bradbury 's Chronicles take place ?,location
Who is the current prime minister and president of Russia ?,human
Who established a Viking colony in Greenland about 985 ?,human
What was the distinguishing mark on the `` Little Rascals '' dog ?,entity
"What is the latitude and longitude of El Paso , Texas ?",numeric
Where can I get information about cystic fibrosis ?,location
Where did Honecker rule ?,location
What is the theory of equivalence states ?,description
What does a philatelist collect ?,entity
What is the life span of the average monkey ?,numeric
How many member states are in the UN ?,numeric
Who shot and killed himself while painting Wheatfield with Crows ?,human
What will happen when sodium is put in water ?,description
What 's the meaning of UOL ?,description
What future President became Senate majority whip under Harry Truman ?,human
Who was the architect of Central Park ?,human
Which operating system runs on IBM-compatible machines ?,entity
What are the dimensions of an ice hockey goal ?,numeric
When was CNN 's first broadcast ?,numeric
What are the signs of a country going into a recession ?,entity
What is the circumorbital hematoma ?,description
What African country is governed from Ouagadougou ?,location
What was the Christian name of the title character in Our Miss Brooks ?,human
What hard-of hearing artist painted Sunflowers ?,human
Who were the Yankee 's frequent enemies ?,human
Who wrote Sons and Lovers ?,human
What is the English translation for the word `` caliente '' ?,entity
What handicraft requires you to interlace your warp and weft ?,entity
What French seaport claims to be The Home of Wines ?,location
How long does it take sunlight to reach Earth ?,numeric
How many milliseconds in a second ?,numeric
What Cherokee Indian gave his name to a tree ?,human
When were camcorders introduced in Malaysia ?,numeric
What is the chance of conceiving quadruplets ?,numeric
Who was the star of Leave It to Beaver ?,human
What countries have the largest armed forces in the world ?,location
What was William F. Cody 's better-known name ?,human
How do I increase my biceps ' size ?,description
Who did Richard Nixon tender his resignation to ?,human
Who was Thucydides ?,human
How is the element strontium purified ?,description
Which of the following rock 'n roll stars has a `` star '' on Hollywood Boulevard ?,human
What are tonsils for ?,description
"What molecules include fluorine , sodium and magnesium ?",entity
What was the name of the ball game played by the mayans ?,entity
What was the sequel to The Moon 's Balloon ?,entity
What is the exchange rate for Australian to American money ?,numeric
What is the origin of the word ` posh ' ?,description
How can anyone tell if a female had sexual intercourse ?,description
How many states did Richard Nixon carry in 1972 ?,numeric
What basketball maneuver did Bert Loomis invent ?,entity
What is a good book to read for people who hate to read ?,entity
How many shillings more than 2 were there in a guinea ?,numeric
What does a tarantula eat ?,entity
What are the three secondary colors ?,entity
What does the name `` Sabrina '' mean ?,description
Who took over as conductor of the Boston Pops after Arthur Fiedler 's long reign ?,human
What were the trials called which followed World War II ?,entity
What is hebephrenia ?,description
What Nazi leader killed himself in jail just before he was to be executed as a war criminal ?,human
What famous events have happened on March 27 ?,entity
Which company claimed to be `` the world 's biggest toy store '' ?,human
What brand number graces the black label of a bottle of Jack Daniel 's ?,numeric
What do I call the sons and daughters of my first cousins ?,entity
What were the causes of the Civil War ?,description
What are Maid-Rites ?,description
What city is terrorized by Dracula in The Night Stalker ?,location
How can you prevent it ?,description
What do the names Andrew and Christina mean ?,description
What chocolate bar created by Frank Mars and his wife is often called a Milky Way with peanuts ?,entity
Who is the fastest guitarist ?,human
What do camels store in their humps ?,entity
What is the name of the second space shuttle ?,entity
What is the best hospital for orthopedics in the country ?,location
What are perfect tenses ?,description
What is commonly considered the fifth sense ?,description
What was another name for East Germany ?,entity
What 's the second-biggest-selling magazine in America ?,entity
Who betrayed Norway to the Nazis ?,human
Who took the toys donated for the Doodyville Orphans ' Fund and kept them for himself ?,human
What is a bourdon tube ?,description
What kind of a sports team is the Wisconsin Badgers ?,entity
Who were the Picts ?,human
"What do Caroll Baker , Tammy Grimes , Debbie Reynolds , and Judy Garland all have in common ?",description
What is film noir ?,description
Who is stationed at Camp Swampy in the comic strips ?,human
In what year did China and the Republic of Korea establish diplomatic relations ?,numeric
What causes tuberculosis ?,description
How tall is the giraffe ?,numeric
What actor dressed up as Santa Claus and had a once-a-year affair with actress Shelley Winters every Christmas for many years ?,human
What animal was the heat-seeking missile called the Sidewinder named for ?,entity
How long did it take Stanley to find Livingstone ?,numeric
How much of the nation 's children between the ages of two and eleven watch ` The Simpsons ' ?,numeric
What lake is Sheboygan on ?,location
What are a baseball team 's firemen ?,description
What is a fear of color ?,entity
What Nantucket shipwreck killed more divers exploring it than the 52 people it sank with ?,entity
What are the two largest birds on earth ?,entity
Name the four stories contained in Edith Wharton 's `` Old New York . '',entity
What is the largest lake in North America ?,location
How many people died because of a smoking problem in 1997 ?,numeric
What is chronic constipation a symptom of ?,entity
Who wrote The Look of Love after viewing Ursula Andress ?,human
What is the name of the American swimmer who won seven gold medals in the 1972 Olympics ?,human
Who claims to have the greatest show on earth ?,human
What is Head Start ?,description
What Honeymooners actress did Television magazine name as 1953 's most promising star ?,human
Why can 't women serve in the Navy on board submarines ?,description
What did the Yalta Conference lead to ?,entity
What dog was dubbed The Mortgage Lifter ?,entity
What is saltpeter ?,description
What 's the difference between J.D. and LL.M. ?,description
What kind of organization is ` Last Chance for Animals ' ?,human
What was the role of the Medieval Guild ?,human
Silly putty was invented by whom ?,human
What should the oven be set at for baking Peachy Oat Muffins ?,entity
How can someone become a federal agent ?,description
Who invented the paper clip ?,human
Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?,human
How many times in his 16-year National Basketball Associaton career was John Havlicek a member of the all-star team ?,numeric
What city or state do the most gay men live in ?,location
Shea and Gould had an office in Los Angeles for how long before closing it ?,numeric
"What word occurs 46 , 227 times in the Bible ?",entity
How can you be happy ?,description
How would someone go about becoming an organ donor ?,description
"What year did Degas create the bronze sculpture , `` Fourth Position Front ? ''",numeric
What composer was awarded the Medal of Honor by Franklin D. Roosevelt ?,human
How many URL extensions are there ? and what are they ?,numeric
How long after intercourse does it take to find out if you are pregnant ?,numeric
What does U.S.S.R. stand for ?,abbreviation
"Who created the Fantastic Four , Hulk , and Thor ?",human
What is a fear of gravity ?,entity
Who is the composer of `` Canon in D Major '' ?,human
What did n't Rocky Marciano do in his pro boxing career ?,description
Where are all European and American eels born ?,location
Who was the author of the novel `` Far From the Madding Crowd '' ?,human
What is the definition of ` graphic details ' ?,description
What was `` America 's recessed-filter cigarette '' ?,entity
