,context,abbreviation,description,entity,human,location,numeric
558,"Bush hoped that the creation of this memex would be the work of scientists after World War II. [13] Though the essay predated digital computers by several years, 'As We May Think ' anticipated the potential social and intellectual benefits of digital media and provided the conceptual framework for digital scholarship, the World Wide Web, wikis and even social media. $^{[12][14]}$ It was recognized as a significant work even at the time of its publication. [13]",not_abbreviation,not_description,not_entity,human,not_location,numeric
563,"William Griffin eventually pleaded guilty to illegal campaign donations, among allegations of other serious wrongdoing at Riscorp, and served prison time in 1998. The election of Republican Jeb Bush as governor of Florida is considered to have been a major factor in stopping further state investigation into the Riscorp scandal. According to a Sun-Herald column from June 2005, 'Harris denied any knowledge of the scheme, was never charged with any crime and was cleared of wrongdoing by a state investigator. ' [10]",not_abbreviation,not_description,not_entity,human,location,numeric
566,"|------------------|---------------------------------|
| Spouse           | Lulli Boe (m. 1975)             |
| Children         | 6                               |
| Education        | Worcester                       |
|                  | Polytechnic                     |
|                  | Institute (BS)                  |
|                  | Covenant                        |
|                  | Theological                     |
|                  | Seminary (MDiv)                 |
| Allegiance       | Military service  United States |
| Branch/service   | United States                   |
|                  | Army                            |
|                  | Missouri Army                   |
|                  | U.S. Army                       |
| Years of service | 1972-1980                       |
| Unit             | U.S. Army Corps                 |
|                  | of Engineers                    |",not_abbreviation,not_description,entity,human,not_location,numeric
569,"Cultural values, norms, and laws regarding clothing can vary by location. For example, the degree of nudity that is acceptable changes depending on location. In New Guinea and Vanuatu, there are areas where it is customary for men to wear nothing but penis sheaths in public, while women wear string skirts. In remote areas of Bali, women may go topless, which is less common in more Western countries.",not_abbreviation,description,not_entity,not_human,location,not_numeric
573,"Palmisano argues that in the international model of the 20th century, most operations were centred in their home country, with only elements of sales and distribution happening overseas. The multinational model of the 21st century-in which companies created small versions of themselves in each country-was a response to the trade barriers that arose after the World Wars. For IBM-Palmisano's employer-this was a successful model because it enabled the company to grow in those markets, understand local customer requirements and cultivate local talent. But it also created redundancy or duplication as each country had its own back-office functions, such assupply, procurement, finance and human resources.",not_abbreviation,not_description,not_entity,human,not_location,not_numeric
578,"The principal function of an ATS is to provide a central location and database for a company's recruitment efforts. ATSs are built to better assist management of resumes and applicant information. Data is either collected from internal applications via the ATS front-end, located on the company website or is extracted from applicants on job boards. Most job and resume boards (Reed Online, LinkedIn.com, Monster.com, Hotjobs, CareerBuilder, Indeed.com) have partnerships with ATS software providers to provide parsing support and easy data migration from one system to another. Newer applicant tracking systems (often the epithet is next-generation) are platforms as a service, where the main piece of software has integration points that allow providers of other recruiting technology to plug in seamlessly. The ability of these next-generation ATS solutions allows jobs to be posted where the candidate is and not just on-job boards. This ability is being referred to as omnichannel talent acquisition.",abbreviation,description,not_entity,not_human,not_location,not_numeric
583,"The prizes for the competition were $1 million for first place (Watson), $300,000 for second place (Jennings), and $200,000 for third place (Rutter). As promised, IBM donated 100% of Watson's winnings to charity, with 50% of those winnings going to World Vision and 50% going to World Community Grid. $^{[63]}$ Similarly, Jennings and Rutter donated 50% of their winnings to their respective charities. [64]",not_abbreviation,not_description,not_entity,human,not_location,numeric
588,"Typically, web hosting requires the following:
one or more servers to act as the host(s) for the sites; servers may be physical or virtual
colocation for the server(s), providing physical space, electricity, and Internet connectivity;
Domain Name System configuration to define name(s) for the sites and point them to the hosting server(s);
a web server running on the host;
for each site hosted on the server:
space on the server(s) to hold the files making up the site
site-specific configuration
often, a database;
software and credentials allowing the client to access these, enabling them to create, configure, and modify the site;
email connectivity allowing the host and site to send email to the client.",not_abbreviation,description,not_entity,not_human,not_location,not_numeric
593,"In 2018, a research team from the Department of Physics, Massachusetts Institute of Technology, discovered superconductivity in bilayer graphene with one layer twisted at an angle of approximately 1.1 degrees with cooling and applying a small electric charge. Even if the experiments were not carried out in a high-temperature environment, the results are correlated less to classical but high temperature superconductors, given that no foreign atoms need to be introduced. [68] The superconductivity effect came about as a result of electrons twisted into a vortex between the graphene layers, called 'skyrmions '. These act as a single particle and can pair up across the graphene's layers, leading to the basic conditions required for superconductivity. [69]",not_abbreviation,not_description,not_entity,not_human,location,numeric
598,"From 1968-75, Skinner served in the office of the United States Attorney for the Northern District of Illinois as an assistant United States attorney (AUSA) and, in 1975, President Gerald Ford appointed the 37-year-old Skinner the United States Attorney. As an AUSA, Skinner fought organized crime and public corruption. In 1974, Skinner and co-counsel, then United States Attorney for the Northern District of Illinois and future Governor of Illinois James R. Thompson, successfully prosecuted then-U.S. Circuit Court of Appeals Judge Otto Kerner, Jr.",abbreviation,description,not_entity,human,location,numeric
602,"
3. 'Westinghouse Digital Electronics ' (https://www.linked in.com/company/westinghouse-digital-electronics/). LinkedIn. Retrieved 2018-10-23. 'Until April, 2010, Westinghouse Digital Electronics was a leading LCD TV manufacturer in the U.S. The company provided a full line of LCD displays as well as other consumer electronic products. Westinghouse Digital Electronics LCD-based line-up included a complete family of 720p and 1080p LCD HDTVs and HD 1080p monitors in a wide range of sizes and formats, HD Grade™ computer standard and widescreen monitors, digital photo frames and notebook/HDTV bundles. '
4. Willcox, James K. 'TV Brands Aren't Always What They Seem ' (https://www.consumerreports.org/ tvs/tv-brands-arent-always-what-they-seem/). Consumer Reports. Retrieved 2021-02-11.
5. Westinghouse shows off 4K TV (http://reviews.cnet.com/8301-33199_7-57462308-221/westingho use-shows-off-4k-tv/) CNET.com, 6/17/2012",not_abbreviation,not_description,entity,not_human,not_location,not_numeric
607,"The IBM Linux Technology Center (LTC) is an organization focused on development for the Linux kernel and related open-source software projects. In 1999, IBM created the LTC to combine its software developers interested in Linux and other open-source software into a single organization. Much of the LTC's early effort was focused on making 'all of its server platforms Linux friendly. ' [1] The LTC collaborated with the Linux community to make Linux run optimally on processor architectures such as x86, mainframe, PowerPC, and Power ISA. In recent years, the focus of the LTC has expanded to include several other open source initiatives.",abbreviation,description,entity,not_human,not_location,not_numeric
612,"
Speedcore eFPGAs (https://www.achronix.com/product/speedcore/)-Embedded FPGA IP that is integrated into a SoC or ASIC device. It consists of customer defined amounts of reconfigurable logic blocks, logic and block RAM, DSP blocks and Machine Learning Process (MLP) blocks. $^{[12]}$ Speedcore is supported in TSMC 16FF+, TSMC 7 nm FinFET and TSMC 12FFC is under development. [13]
VectorPath Accelerator Cards (https://www.achronix.com/vectorpath/)-PCIe card which is based on the Speedster7t FPGA family. This card includes 400G and 200G network interfaces, 8 GDDR6 memories, and additional expansion ports for custom connectivity. [14]
ACE-FPGA development tools which are used to design for all of Achronix's FPGA and eFPGA devices. [15][16]",not_abbreviation,description,not_entity,not_human,not_location,numeric
617,"In 2011, Gartner named Turbonomic as a Cool Vendor in Cloud Management. [1] In 2016, Turbonomic was listed as the top product for Virtualization Management in a report by IDG and IT Central Station. $^{[2]}$ Turbonomic has made five appearances to the Inc. 5000, [3] and made the Forbes Cloud 100 four times. [4] In 2020, Fast Company named Turbonomic to their Best Workplaces for Innovators List. $^{[5]}$ The company was also deemed a Vendor to Watch in AIOps by Enterprise Management Associates (EMA) for its combination of abstraction, analytics, and automation engine that continually assures performance of a customer's applications. [6]",not_abbreviation,description,not_entity,not_human,not_location,numeric
619,"
ACF/TCAM (5735-RCl)
ACF/VTAM (5746-RC3, 5735-RC2)
Data Facility/Device Support (DF/DS), 5740-AM7
Data Facility Extended Function (DF/EF), 5740-XYQ
Data Facility/Data Set Services (DF/DSS), 5740-UT3.
Data Facility Sort, 5740-SM1
OS/VS2 MVS Sequential Access Method-Extended (SAM-E), 5740-AM3
MVS/370 Data Facility Product (DFP), 5665-295, replacing
5740-AM7 Data Facility Device Support (DFDS)
5740-XYQ Data Facility Extended Function (DFEF)
5740-AM3 Sequential Access Method Extended (SAM-E)
5740-AM8 Access Method Services Cryptographic Option
5748-UT2 Offline 3800 Utility
MVS/XA Data Facility Product Version 1 Release 1, 5665-284
MVS/XA Data Facility Product Version 2 Release 1, 5665-XA2 (https://www-01.ibm.com/common/ ssi/ShowDoc.wss?docURL=/common/ssi/rep_ca/0/897/ENUS285-030/index.html&request_locale =en)
MVS/ESA Data Facility Product Version 3, 5665-XA3
Data Facility Storage Management Subsystem (DFSMS), 5695-DF1 Replaces DFP, DF/DSS and DF/HSM
OS/VS2 MVS TSO Command Package (5740-XT6)
TSO Command Processor-FDP 5798-AYF (PRINT command)
TSO/VS2 Programming Control Facility-FDP 5798-BBJ
TSO Programming Control Facility-II (PCF II), FDP 5798-CLW,
TSO Extensions (https://www-01.ibm.com/common/ssi/rep_ca/6/877/ENUSZP81-0796/) Replaces TSO Command Package, TSO Command Processor and PCF
5665-285 for MVS/370
5665-293 for MVS/XA
5685-025 for MVS/XA First version with REXX
OS/VS2 MVS/System Extensions, 5740-XEl
MVS/System Product
JES3 Version 1 5740-XYN
JES2 Version 1 5740-XYS
MVS/System Product-JES2 Version 2, 5740-XC6
MVS/System Product-JES3 Version 2, 5665-291
MVS/System Product-JES2 Version 3, 5685-001 (https://www-01.ibm.com/common/ssi/cgi-bin/ ssialias?infotype=dd&subtype=sm&htmlfid=897/ENUS5685-001)
MVS/System Product-JES3 Version 3, 5685-002 (https://www-01.ibm.com/co695-047mmon/ss i/cgi-bin/ssialias?infotype=dd&subtype=sm&htmlfid=897/ENUS5685-001)
MVS/ESA System Product: JES2 Version 4, 5695-047
MVS/ESA System Product: JES3 Version 4, 5695-048
MVS/ESA System Product: JES2 Version 5, 5655-068
MVS/ESA System Product: JES3 Version 5, 5655-069",not_abbreviation,not_description,not_entity,not_human,not_location,not_numeric
623,"2010 United States Senate election in Arkansas
2010 United States Senate election in Pennsylvania
2010 United States Senate election in South Carolina
2010 United States Senate election in South Dakota
2010 United States Senate elections
2010 United States Senate special election in Delaware
2010 United States Senate special election in Massachusetts
2010 United States Senate special election in West Virginia
2010 Unity State gubernatorial election
2010 Virginia's 5th congressional district election
2011
2011 Tunisian Constituent Assembly election
2011 Turkish general election",not_abbreviation,not_description,entity,not_human,location,numeric
628,"This special mark can appear instead of a value wherever a value can appear in SQL, in particular in place of a column value in some row. The deviation from the relational model arises from the fact that the implementation of this ad hoc concept in SQL involves the use of threevalued logic, under which the comparison of NULL with itself does not yield true but instead yields the third truth value, unknown; similarly the comparison NULL with something other than itself does not yield false but instead yields unknown. It is because of this behavior in comparisons that NULL is described as a mark rather than a value. The relational model depends on the law of excluded middle under which anything that is not true is false and anything that is not false is true; it also requires every tuple in a relation body to have a value for every attribute of that relation. This particular deviation is disputed by some if only because E. F. Codd himself eventually advocated the use of special marks and a 4-valued logic, but this was based on his observation that there are two distinct reasons why one might want to use a special mark in place of a value, which led opponents of the use of such logics to discover more distinct reasons and at least as many as 19 have been noted, which would require a 21-valued logic. SQL itself uses NULL for several purposes other than to represent 'value unknown '. For example, the sum of the empty set is NULL, meaning zero, the average of the empty set is NULL, meaning undefined, and NULL appearing in the result of a LEFT JOIN can mean 'no value because there is no matching row in the right-hand operand '. There are ways to design tables to avoid the need for NULL, typically what may be considered or resemble high degrees of database normalization, but many find such impractical. It can be a hotly debated topic.",not_abbreviation,not_description,not_entity,not_human,not_location,not_numeric
633,"|-----------------------------------------------------------------------------------------------------------------------------------------------|------------------------|------------------------------------------------|
| Donziger, Chevron was accused by environmentalists and human rights groups of jailing Donziger and compelling the US                          | Key people             | Mike Wirth (Chairman and CEO) [4]              |
| government to deny Donziger due process of law. [11][12]                                                                                      | Products               | Gasoline, natural gas and other petrochemicals |
| History                                                                                                                                       | Brands                 | Chevron                                        |
| Predecessors                                                                                                                                  |                        | Caltex Havoline Techron                        |
| Star Oil and Pacific Coast Oil Company                                                                                                        |                        | Calso (1946-55) Gulf (1985-2010)               |
| One of Chevron's early predecessors, ""Star Oil"", discovered oil at the Pico Canyon Oilfield in the Santa Susana Mountains north of            | Revenue                | US$246.3 billion (2022)                        |
| Los Angeles in 1876. The 25 barrels of oil per day well marked the discovery of the Newhall Field, and is considered by geophysicist          | Operating income       | US$49.67 billion (2022)                        |
| Marius Vassiliou as the beginning of the modern oil industry in California. $^{[13]}$ Energy analyst  Antonia Juhasz  has said that while     | Net income             | US$35.47 billion (2022)                        |
| Star Oil's founders were influential in establishing an oil industry                                                                          | Total assets           | US$257.7 billion (2022)                        |
| in California, Union Mattole Company discovered oil in the state                                                                              |                        |                                                |
| eleven years prior. [14]                                                                                                                      | Total equity Number of | US$159.3 billion (2022) 43,846 (December 2022) |
| In September 1879, Charles N. Felton, Lloyd Tevis, George Loomis and others created the ""Pacific Coast Oil Company"", which                    | employees Parent       | Standard Oil Co. (1900-1911)                   |
| acquired the assets of Star Oil [13] with $1 million in funding. [15] Pacific Coast Oil eventually became the largest oil interest in         | Subsidiaries           | Chevron Phillips Chemical                      |
| California, and in 1900, John D. Rockefeller's Standard Oil                                                                                   |                        | Chevron Sri Lanka                              |
| acquired Pacific Coast Oil for $761,000. $^{[15][13]}$ In 1906, the Pacific Coast acquired the business operations and assets of the Standard | Website                | chevron.com (https://www.che vron.com/)        |",not_abbreviation,description,entity,not_human,not_location,numeric
638,"Products
NEC MobilePro-a handheld computer running Windows CE
NEC Aspire hybrid small business phone system
Electric vehicle batteries $^{[71]}$ (Automotive Energy Supply Corporation, a joint-venture between Nissan, NEC Corporation and NEC TOKIN)
NEC mobile phone (see NEC e616)
NEC America MultiSync Monitors and Fax devices1
NEC digital cinema projector
NEC Home Electronics (USA), Inc. / NEC MultiSpeed laptop PCs, MultiSync series PC monitors and Data Projectors
NEC Home Electronics (USA), Inc. / TV, Projection TV, VCRs and Home Audio (CD, Amplifiers, Receivers)
NEC Technologies, Inc. / Versa series notebook PCs
NEC Information Systems, Inc. POWERMATE desktop PCs
NEC Information Systems, Inc. Valuestar / NEC POWERMATE hybrid computer
NEC (Division unknown) Car Stereos and Keyless Entry Systems",not_abbreviation,description,entity,not_human,not_location,numeric
642,"Corporate acquisitions
In 1992 Autodesk acquired Micro Engineering Solutions (MES) Inc., a developer and marketer of manufacturing CAD / CAM software. [25][26][27]
In 1993 Autodesk acquired Ithaca Software, a 3D computer graphics company founded by Autodesk's former CEO Carl Bass and Garry Wiegand. [28][29]
In December 1996, Autodesk announced its plan to acquire Softdesk, a developer of architecture, engineering and construction software. [30]
In 1998 Autodesk acquired assets of Genius CAD-Software to strengthen the functionality of its core mechanical products. [31]
In August 1998, Autodesk agreed to acquire Discreet Logic Inc. for about $520 million in stock. [32]
In 1999, Autodesk acquired VISION* Solutions, a vendor of enterprise automated mapping/facilities management/geographic information systems (AM/FM/GIS) from MCI Systemhouse Corp. [33]
In January 2001, Autodesk acquired Gentry Systems, a supplier of specialized software tools and services in the electric utility industry. The asset was used to strengthen Autodesk's position in the utility industry. [33]
In September 2001, Autodesk acquired Buzzsaw. [34]
In February 2002, Autodesk acquired Revit Technology Corporation, a developer of parametric building technology for building design, construction, and management. [35]
In August 2002, Autodesk acquired CAiCE Software Corporation, a developer of surveying and engineering applications for transportation agencies and consultants; the product was released in 2003 as 'Civil 3D '.
In December 2002, Autodesk acquired the assets of truEInnovations, Inc. to create the application Autodesk Vault. [36]
In 2003 Autodesk acquired Linius Technologies, Inc. and purchased certain assets of a third software company-VIA Development Corporation. [36]
In 2004 Autodesk acquired MechSoft, Inc., the developer of the MechSoft product. [37]
In 2005 Autodesk acquired the assets of COMPASS systems GmbH, to strengthen Autodesk's position in the European product data management market. [38]
In 2006 Autodesk acquired Alias, with its automotive styling and digital content creation applications such as FBX file format. [39]
On August 6, 2007, Autodesk announced the acquisition of Skymatter Inc, developer of Mudbox. [40]
On August 9, 2007, Autodesk completed the acquisition of NavisWorks Limited. [41]
On August 20, 2007, Autodesk announced that it completed the acquisition of technology and product assets of Opticore AB in Gothenburg, Sweden. $^{[42]}$ Opticore is specialized in real time visualization primarily for the carmakers industry.
On December 15, 2008, Autodesk announced the acquisition of BIMWorld, plans to combine BIMWorld with Autodesk Seek.",not_abbreviation,not_description,entity,not_human,not_location,numeric
643,"The materials chosen as suitable dopants depend on the atomic properties of both the dopant and the material to be doped. In general, dopants that produce the desired controlled changes are classified as either electron acceptors or donors. Semiconductors doped with donor impurities are called n-type, while those doped with acceptor impurities are known as p-type. The n and p type designations indicate which charge carrier acts as the material's majority carrier. The opposite carrier is called the minority carrier, which exists due to thermal excitation at a much lower concentration compared to the majority carrier. [22]",not_abbreviation,description,not_entity,not_human,not_location,numeric
648,"IBM India's domestic revenues grew at 60% in 2005-06 making it one of the highest growth areas in the entire IBM portfolio of geographies & businesses. IBM India is also the biggest domestic IT player in the country, replacing HCL Technologies. It's worthwhile to mention that Airtel, India's largest private telecom company which had chosen IBM as its strategic partner for outsourcing its entire network & IT backbone-a deal worth about $750 million initially, has decided to renew it for another five years, reducing the order by more than half the size of the one that expired at the end of March 2014. [9]",not_abbreviation,not_description,not_entity,not_human,location,numeric
653,"Since its founding, Cypress has acted as an incubator for wholly owned subsidiaries which are given a degree of autonomy and has acquired other small technology companies. In addition, Cypress has been an active acquirer of smaller technology companies. In addition, Cypress has incorporated some of its technology into subsidiaries, to speed up development of such products as the PSoC Programmable System-on-Chip (SoC) that integrates analog and digital components with a microcontroller on a single chip to form a complete solution for embedded systems. Since the early 1990s, acquisitions have included:
Timing Technology
IC Design
IC Works [29]
International Microcircuits Inc.
USB Technology
Anchor Chips
In-System Design
ScanLogic
SoC Technology
Broadcom (WICED)
Cypress Microsystems (PSoC)
RAM Technology
Galvantech, Inc.
Cascade Semiconductor Corporation
Simtek Corporation
Ramtron
Radio Frequency Technology
Alation
RadioCom
Solar Cell Technology
SunPower (distributed to CY shareholders in 2008 as SPWRB stock)
PowerLight
Image Sensors
Silicon Light Machines
FillFactory (sold to ON Semiconductor)
SMaL Camera Technologies (Sold to Sensata Technologies in 2007)
Datacom/Telecom
Arcus
Silicon Packets
Lara Networks
HiBand Semiconductors",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
656,"HCL Connections has the following components:
Homepage-a portal site which can federate information from many sources.
Microblogging-primarily used to stay current with updates from across the social network through the home page
Profiles-a social network service-primarily used to find people in the organization by expertise, current projects, and responsibilities. Home page, microblogs, and tags.
Communities-a collaborative space for people to work together with a discussion forum space.
Ideation-Provides the ability to crowdsource ideas
Media Gallery-Used to share photos and videos and stream those videos from the server
Blogs-a blogging service.
Bookmarks-a social bookmarking service.
Activities-a task management tool for groups of people to work together on a specific project or task.
Files-a content library for storing, sharing and revision management of computer files.
Wikis-a Wiki system for publishing and editing content.
Forums-an Internet forum system where people can ask questions, share their experiences, and discuss topics of common interest.
Search-for searching across IBM Connections.",not_abbreviation,description,not_entity,not_human,not_location,not_numeric
662,"|---------------|---------------------------------------------------------------------------------------------------------------------------|
|               | [hide] Authority control - Alexander Graham Bell                                                                          |
| International | FAST (http://id.worldcat.org/fast/43571/)  ·  ISNI (https://isni.org/isni/0000000081386064)  ·                            |
| International | VIAF (https://viaf.org/viaf/59263727)  ·  WorldCat (https://id.oclc.org/worldcat/entity/E39PBJktvvMBt473Vb9WfRCG73)       |
| National      | Norway (https://authority.bibsys.no/authority/rest/authorities/html/90168840)  ·                                          |
| National      | Chile (http://www.bncatalogo.cl/F?func=direct&local_base=red10&doc_number=000481041)  ·                                   |
| National      | Spain (http://catalogo.bne.es/uhtbin/authoritybrowse.cgi?action=display&authority_id=XX851713)  ·                         |
| National      | France (https://catalogue.bnf.fr/ark:/12148/cb13746617f)  ·  BnF data (https://data.bnf.fr/ark:/12148/cb13746617f)  ·     |
| National      | Germany (https://d-nb.info/gnd/119408643)  ·  Italy (https://opac.sbn.it/nome/PUVV240900)  ·                              |
| National      | Israel (http://uli.nli.org.il/F/?func=find-b&local_base=NLX10&find_code=UID&request=987007274818805171)  ·                |
| National      | United States (https://id.loc.gov/authorities/n79113947)  ·  Japan (https://id.ndl.go.jp/auth/ndlna/00620343)  ·          |
| National      | Czech Republic (https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=jn20000700146&CON_LNG=ENG)                |
| National      | ·  Australia (https://nla.gov.au/anbd.aut-an48221036)  ·  Greece (https://data.nlg.gr/resource/authority/record125947)  · |",not_abbreviation,not_description,not_entity,not_human,not_location,not_numeric
666,"By procuring consulting services, clients may acquire access to higher grades of expertise than would be financially feasible for them to retain in-house on a long-term basis. $^{[26][27]}$ Moreover, clients can control their expenditures on consulting services by only purchasing as much services from the outside consultant as desired. Additionally, consultants are key persons with specific domain-skills in creating strategies, $^{[7]}$ leading change $^{[28][29][30]}$ (e.g. digitalization $^{[31][32][33]}$), leadership coaching,[34] interim management $^{[35]}$ (also called consultant manager $^{[36]}$), etc.[5]",not_abbreviation,description,not_entity,not_human,not_location,numeric
671,"Conversely, any problem solvable by a quantum computer is also solvable by a classical computer. It is possible to simulate both quantum and classical computers manually with just some paper and a pen, if given enough time. More formally, any quantum computer can be simulated by a Turing machine. In other words, quantum computers provide no additional power over classical computers in terms of computability. This means that quantum computers cannot solve undecidable problems like the halting problem, and the existence of quantum computers does not disprove the Church-Turing thesis. [135]",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
676,"In April 2016, Standards Australia submitted a proposal to the International Organization for Standardization to consider developing standards to support blockchain technology. This proposal resulted in the creation of ISO Technical Committee 307, Blockchain and Distributed Ledger Technologies. [63] The technical committee has working groups relating to blockchain terminology, reference architecture, security and privacy, identity, smart contracts, governance and interoperability for blockchain and DLT, as well as standards specific to industry sectors and generic government requirements. [64] More than 50 countries are participating in the standardization process together with external liaisons such as the Society for Worldwide Interbank Financial Telecommunication",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
679,"IBM Tokyo Research Laboratory was established in 1982 as the Japan Science Institute (JSI) in Sanbanchō, Tokyo. It was IBM's first research laboratory in Asia. $^{[47]}$ Hisashi Kobayashi was appointed the founding director of TRL in 1982; he served as director until 1986. $^{[48]}$ JSI was renamed to the IBM Tokyo Research Laboratory in 1986. In 1988, English-to-Japanese machine translation system called 'System for Human-Assisted Language Translation ' (SHALT) was developed at TRL. It was used to translate IBM manuals. [49]",abbreviation,description,not_entity,not_human,location,numeric
684,"2014 2015 2016 2017 GE Industrial was a division providing appliances, lighting and industrial products; factory automation systems; plastics, silicones and quartz products; security and sensors technology, and equipment financing, management and operating services. As of 2007 it had 70,000 employees generating $17.7 billion in revenue. [189] After some major realignments in late 2007, GE Industrial was organized in two main sub businesses:
GE Consumer & Industrial
Appliances
Electrical Distribution
Lighting
GE Enterprise Solutions
Digital Energy
GE Fanuc Intelligent Platforms
Security
Sensing & Inspection Technologies",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
689,"Reuters reported that the SCO Group intended to revoke IBM's license to use UNIX code in their AIX operating system on June 13, 2003, if no resolution is reached before then. IBM responded that they believe that SCO has no power to do so, as their license is 'irrevocable '. On the following Monday, June 16, 2003, CNET reported that SCO had announced it had terminated IBM's license. IBM continues to distribute and support AIX, and the SCO Group now states that they will be seeking an injunction to force IBM not only to stop selling and supporting AIX, but also to return to the SCO Group or destroy all copies of the AIX operating system. IBM's continued distribution of AIX is the basis of SCO's copyright claim.",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
694,"The following data is stored on track 1: [20]
Start Sentinel-one character (generally '%')
State or Province-two characters
City-variable length (seems to max out at 13 characters)
Field Separator-one character (generally '^') (absent if city reaches max length)
Last Name-variable length
Field Separator-one character (generally '$')
First Name-variable length
Field Separator-one character (generally '$')
Middle Name-variable length
Field Separator-one character (generally '^')
Home Address (house number and street)-variable length
Field Separator-one character (generally '^')
Unknown-variable length
End Sentinel-one character (generally '?')",not_abbreviation,not_description,not_entity,not_human,not_location,not_numeric
699,"Hi, I'm Jason, and I'm here on behalf of IBM as part of my work with Beutler Ink (which I've disclosed at the top of this page as well). As someone with a conflict of interest, I will abstain from directly editing the article and instead, post requests to be reviewed and implemented by volunteers. I recently proposed a new article about John E. Kelly III, EVP of IBM, which was approved at Articles for Creation earlier this week. In light of the draft acceptance, I am requesting to add relevant information pertaining to Dr. Kelly to the IBM article's History section. As the director of research, Dr. Kelly has played a major role at IBM over the course of his 40-year tenure, but he is not mentioned in the current article. Will an editor please review my proposed language and sourcing below, and implement if appropriate?",not_abbreviation,not_description,not_entity,human,not_location,not_numeric
704,"ScriptX was an object oriented scripting language, which used design elements from 'Smalltalk, Dylan, Hypertalk, Lisp, Object Logo, C++, and Pascal '. [13] With Smalltalk, it shared the concept of classes, objects, and inheritance, but also featured multiple inheritance in both classes and objects, and dynamic binding of objects at runtime. ScriptX had no primitive data types; even integers were defined as objects. All objects were instances of a class, and classes themselves were instances of a MetaClass object. As in LISP, there were no statements, and every line in a ScriptX program was an expression that returned a value. [13]",not_abbreviation,description,not_entity,not_human,not_location,not_numeric
709,"Congress continued to issue paper money after the Civil War, the latest of which is the Federal Reserve Note that was authorized by the Federal Reserve Act of 1913. Since the discontinuation of all other types of notes (Gold Certificates in 1933, Silver Certificates in 1963, and United States Notes in 1971), U.S. dollar notes have since been issued exclusively as Federal Reserve Notes.",not_abbreviation,description,not_entity,not_human,not_location,numeric
714,"frequently reported as a large drop, due to using a later redefinition. Reports from the time say that the day was positive. [43] Following World War I, the United States experienced another economic downturn, the Post-World War I recession. The Dow's performance remained unchanged from the closing value of the previous decade, adding only 8.26%, from 99.05 at the beginning of 1910, to a level of 107.23 at the end of 1919. [44]",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
719,"The inauguration of Barack Obama as the 44th president took place on January 20, 2009. In his first few days in office, Obama issued executive orders and presidential memoranda directing the U.S. military to develop plans to withdraw troops from Iraq. [202] He ordered the closing of the Guantanamo Bay detention camp, [203] but Congress prevented the closure by refusing to appropriate the required funds [204][205] and preventing moving any Guantanamo detainee. $^{[206]}$ Obama reduced the secrecy given to presidential records. $^{[207]}$ He also revoked President George W. Bush's restoration of President Ronald Reagan's Mexico City policy",not_abbreviation,description,not_entity,human,location,numeric
724,"
Dash Series: Low and mid-ranged devices. In 2013, the Dash series was released and started at a $50 dollar price point. [7][8][9][10][11]
Energy Series: Mid and high-end devices. Phones in this series generally have a bigger battery compared to the Studio series.
Grand Series Low end devices. Phones in this series are similar to the Dash Series, Usually with MT6580 processors, Phones in this Series are generally bigger though.
Life Series: High-end devices. New phones will include fingerprint sensors, 2K screens and higher range phone processors.
Neo Series: Low to Mid-Ranged Devices, most phones in this series are generally bigger than 4.0 Inches except some phones like the BLU Neo 3.5.
Tank Xtreme Series: Devices with water and dust resistance.
Touchbook Series Low end devices. These devices are different than the other BLU Devices, as they are tablets with Sim-cards, not phones, also they use Mediatek Processors.
Pure Series: BLU's highest-end devices. The BLU Pure XR, released in August 2016, is known for having a 3D Touch display. [12]
R Series Amazon partnered with BLU in releasing the R1HD starting at $50, with Amazon Prime.
S Series: The BLU S1, released in September 2017, was BLU's first phone to be compatible with Sprint and other CDMA carriers. [13][14]
Studio Series: First released in 2012
BLU Studio X (and X plus (5.5 inches)): Comes with Android 4.4.2 and is upgradable to 5.0.2 lollipop.
BLU Studio G: Lowest-end studio-series phone
Studio Series: Mid and high-end devices. Phones in this series often support 4G HSPA and some, LTE. They are known for durability. Battery life ranges from low to medium depending on the specific model. [15]
Vivo Series: $^{[11]}$ Mid and high-end devices. The Vivo 4.3 was dubbed as the world's first dual SIM smartphone with Super AMOLED Plus screen [16]
F Series: The F Series devices will be BLU's line of 5G phones. Their first 5G phone is the BLU F91 5G which is a Mid-range phone. (2022)
G Series: The G Series currently has 28 different models. the G91 Max, and G91 Pro are the Flagship Models of that series.",not_abbreviation,description,entity,not_human,not_location,numeric
